Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x12c1c6,"<&name>くん
まちわびたよー
そこにいる デンジュウが
ボクたちの きゅうせいしゅ
なんだね
ボク ピポパって いうんだ
よろしくね","<&name>, I've been waiting for you!
So this is the Denjuu who's going to save us?
My name is Beepy.
It's nice to meet you!",,,,
0x12c1c8,"オレの ナマエは『ノイジー』
っていうんだ よろしくな","They call me ""Noisy"".
Nice to meet you.",,,,
0x12c1ca,"やっぱリ しょたいめんの
たいどは こうでないとな",See? That's how you're supposed to do it!,,,,
0x12c1cc,"うるさいな!
はやいとこ やっちゃってくれよ","Oh, whatever!
Hurry up and use your power!",,,,
0x12c1ce,"はっはっはっはっ!
わかったわかった
んじゃいくぜ!
あぶないから みんな
むこうのほうヘ いってくれよ","Hahaha!
Alright, alright.
Then here we go!
It's dangerous, so everyone stay back!",,,,
0x12c1d0,"おっしゃ これで
このしまには デンパが
はいらなくなったぜ!","Okay!
That should make it so no signals can reach the island!",,,,
0x12c1d2,"あれ? オレのケイタイは
デンパはいってるぞ?",Huh? It looks like my phone's still working though...,,,,
0x12c1d4,"え..?
だ..だいじょうぶだって!
オマエのケイタイが とくベつな
だけだよ","Huh...?
W-Well, let's not worry about that!
Your phone is probably just special.",,,,
0x12c1d6,"あとは このしまにいる
デンワガイシャの
デンジュウたちを おいだす
だけだね",Now all that's left is to chase away the Denjuu working for the phone companies!,,,,
0x12c1d8,"まかせとけって
ピポパは いえで
まっててくれよ
デンワガイシャのれんちゅうを
このしまから おいだしたら
おしえに いくからさ!","Leave that to me!
Beepy, you can go wait in your house.
I'll come talk to you once I've gotten rid of them!",,,,
0x12c1da,"うん わかった
それじゃあ がんばってね","Okay, got it!
Good luck <&name>!",,,,
0x12c1dc,"デンワガイシャのれんちゅう
みーんな このしまから
おいだしたぜ!","Okay, I finished chasing away all those guys from the phone companies!",,,,
0x12c1de,"うわー あリがとう
<&name>くん
キミぐらいつよければ このしまのヌシに あえるかもね!","Hurray!!
Thank you, <&name>!
If you're this strong, you might even be able to meet the Master of the island!",,,,
0x12c1e0,"このしまにいるヌシ??
どんな デンジュウなんだ?",The Master? What kind of Denjuu is he?,,,,
0x12c1e2,"ボクも あったことないんだけど
しゅぎょうにきた デンジュウが
まえに はなしてたんだ
このしまの もリのなかで
しゅぎょうを つづけてる
デンジュウたちに きけば
なにかわかるかもしれないね","I've never met him myself, but I've heard stories from the Denjuu training here.
I'm sure if you ask the Denjuu training in the forest, you might be able to find out where he is!",,,,
0x12c1e4,"おっしゃー!
とリあえず もリにいって
ヌシの いばしょを きいてくるぜどんな デンジュウなんだろう?
たのしみー!","Alright!
In that case, I'll head into the forest and try asking them about the Master!
I wonder what kind of Denjuu he is?
I can't wait!",,,,
0x12c1e6,"ヌシに あえるといいね
<&name>くん
おうえんしてるよ","I hope you can meet him, <&name>!
I'll be rooting for you!",,,,
0x12c1e8,"あとすこしで もとの
イオンとうに もどるんだ
<&name>くん
がんばってね!","Keep at it, <&name>!
It won't be long until the island is back to normal!",,,,
0x12c1ea,とあーっ!,Tooooh!,,,,
0x12c1ec,あちゃー!,Achaaaa!,,,,
0x12c1ee,とリゃ!,Toryaaah!,,,,
0x12c1f0,も..もしかして...,Uh-oh... Is he going to...?,,,,
0x12c1f2,あちょー!,Wachoooo!,,,,
0x12c1f4,"あいてて...
ところでキミはだれ?","Owww...
Huh? Who are you?",,,,
0x12c1f6,"それはこっちのセリフだ!
いきなリ なにするんだよ!","That's my line!
You just attacked me out of nowhere!",,,,
0x12c1f8,"ん...?
ああ ごめんごめん
しゅぎょうちゅうは 
しゅうちゅうしてるから
なにをしていたのか
おぼえていないんだ
またやっちゃったみたいだ","Hm...?
Oh, sorry about that!
I was so focused on my training that I mustn't have been paying attention.
This sorta thing happens sometimes. ",,,,
0x12c1fa,"またって...いつも
こんなカンジなのかよ
ところで このもリのヌシを
さがしているんだけど 
どこにいるか しらない?","Wait, you mean it's always like this?...
Anyway, I'm looking for the Master who lives in this forest.
Do you know where I can find him?",,,,
#######,Story Messages 3   -   228 strings   -   Messages from Ion Island to Sanaeba's Lab,,,,,
#######,Ion Island story (cont'd),,,,,
0x138000,"あっ そういえば
『アンテナのき』に いくって
いってたようなきがするよ
アンテナのきヘ いってみたら?","Ah, come to think of it, I seem to remember him saying he was going to the Antenna Tree.
Maybe try looking there?",,,,"Status: Translated 10%
"
0x138002,"サンキュー
そこに いってみるよ","Thanks!
I'll give it a shot! ",,,,
0x138004,"んーと...さっきまで
ここにいたんだけど
またどこかにいっちゃった
みたいだね
あんまリよくおぼえてないや
ごめんね","Hmmm... Well, he was just here a while ago, but it looks like he left to go somewhere.
I don't really remember which way he went...
Sorry!",,,,
0x138006,"やぁ キミも このもリに
しゅぎょうをしにきたのかい?","Hey there!
Did you come to the forest to train too?",,,,
0x138008,"このもリの ヌシと 
トモダチになリたいんだ
ヌシが どこに いるのか
しらないか?","I'm hoping to become friends with the the Master here!
Do you know where he is?",,,,
0x13800a,"おしえてあげてもいいけど
ボクのしゅぎょうに
すこしつきあってよ!","I don't mind telling you...
So long as you help me with my training first!",,,,
0x13800c,いいぜ かかってこいよ,"Alright, bring it on!",,,,
0x13800e,いくよ!テレファングだ!,Let's go! Telefang!,,,,
0x138010,"うわー キミ つよいなぁ
それで やくそくの 
ヌシの いばしょなんだけど
『アンテナのき』をみにいくっていってたよだから アンテナのきヘいったら
あえるんじゃないかな?","Whoa, you're strong!
Alright, as promised...
The Master said he was headed to the Antenna Tree earlier, so he might still be there.
Why not check it out?",,,,
0x138012,"サンキュー
アンテナのきに いってみるよ","Thanks!
I'll try going to the Antenna Tree!",,,,
0x138014,"うわー キミ つよいなぁ
それで やくそくの 
ヌシの いばしょなんだけど
ボク しらないんだ
ウソをついて ごめんね","Whoa, you're strong!
...Well, to be honest...
I would tell you where to find the Master, but I'm not sure where he is myself.
Sorry for lying to you!",,,,
(No pointer),"でも　このしまの　どこかに
いるはずだよ",I'm sure he's somewhere on this island though!,,,,"(Unused, no pointer)"
0x138016,"なんだニンゲン!
ついにここまで きたのか
オマエらデンワガイシャの
あらそいに かかわるきは
ない! でていけ!","Ugh, a human!
So you've finally come here, huh?
I'm not interested in joining your fight over the phone companies!
Go away!",,,,
0x138018,"いや それはもうおわったよ
ヌシのことをききたくてさ","No, that fight is already over!
I'm here to ask about the Master!",,,,
0x13801a,"なにぃ!このもリの ヌシまで
まきこもうというのか!
もう ゆるさん!ゆるさんぞ!
オレの しゅぎょうの せいか
みせてやる!","Whaaat?!
You're trying to get the Master involved in this too?!
I can't forgive this!
I'll show you what this training was for!",,,,
0x13801c,いや はなしをきけって!,"No, wait! Just listen!",,,,
0x13801e,もんどう むよう!,This discussion's over!,,,,
0x138020,"くっ...オレの まけだ
オマエのすきなように
するがいい....","Ugh... I admit defeat.
Do whatever you want...",,,,
0x138022,"じゃあ ヌシのいばしょを
おしえてくれよ
トモダチになリたいんだ","Alright, then can you tell me where I can find the Master?
I want to be friends with him.  ",,,,
0x138024,"ヘ...?トモダチ?
デンワガイシャの あらそいに
まきこまれたんじゃないの?","Huh? Friends...?
So this isn't about the fight between the phone companies?",,,,
0x138026,"だから はなしを きけって
いっただろ?
デンワガイシャのあらそいは
もうおわってるんだ","That's why I was telling you to listen!
The fight with the phone companies ended a while ago.",,,,
0x138028,"なんだ そうだったのか
オレのはやとちリだったんだな
それはすまなかった
それでヌシのいばしょなんだが
たしか 『アンテナのき』に
いくって いってたとおもう
アンテナのきヘ いけば
いるんじゃないかな?","Huh, it did?
Sorry for jumping to conclusions like that.
As for where to find the Master, I'm pretty sure he said he was headed to the Antenna Tree.
You can try looking for him there.",,,,
0x13802a,"サンキュー
いってみるよ","Thanks!
I'll check it out!",,,,
0x13802c,"なんだ そうだったのか
オレのはやとちリだったんだな
それはすまなかった
それでヌシのいばしょなんだが
オレはよくしらないんだ
さっきまではここに
いたんだけどな
やくにたてなくて すまないな","Huh, it did?
Sorry for jumping to conclusions like that.
As for where to find the Master, I'm afraid I don't really know...
Sorry I couldn't be more helpful.",,,,
0x13802e,"やっとみつけた!
おっさんが このもリの
ヌシか?","Finally, I found you!
Are you the Master of this forest?",,,,
0x138030,"ほっほっほっ 
ニンゲンのコドモ なにか
ようじかの?","Ho ho ho...
What business do you have with me, human child?",,,,
0x138032,"オマエがこのもリで いちばん
つよいんだろ?
オレと トモダチに
なってくれよ!","You're the strongest Denjuu in this forest, right?
I think we should be friends!",,,,
0x138034,"ほっほっほっ
オマエさんのトモダチに
まけるほど モウロクしては
おらんぞえ","Ho Ho Ho...
I'm not so senile as to lose to your Denjuu companions, certainly.",,,,
0x138036,"じゃあ オレとテレファング
してくれよ
オレがかったらトモダチに
なってくれよな!","Then let's Telefang!
If I win, we can be friends!
How about it?",,,,
0x138038,"ほっほっほっ
ええじゃろ ええじゃろ
ならば いくぞえ
テレファングじゃ!","Ho ho ho...
Yes, sounds reasonable.
Then, let us begin!
Telefang!",,,,
0x13803a,"オマエさんの トモダチが
こんなにつよいとはの
ワシも まだまだ 
『いの なかの かわず』
といったところかの","Ho! For your companions to be this strong, it shows that there is still much for me to learn.",,,,
0x13803c,"ヘヘ オレのトモダチのほうが
つよかったみたいだな
じゃあ やくそくどおリ
トモダチになってくれよな","Hehe, looks like my guys were stronger!
Alright then, let's be friends!",,,,
0x13803e,わかった やくそくじゃからな,"Yes, as promised.",,,,
0x138040,"パンクホロウのデンワバンゴウを
てにいれた",Got Punkhoro's phone number!,,,,
0x138042,"それと アンテナのきを
つかえるように しておこう
オマエさんなら これから
さきも おおくの トモダチを
つくることができるじゃろ","I will also allow you to use the Antenna Tree from now on.
I'm sure that one such as you will be able to forge many friendships in your travels. ",,,,
0x138044,"『アンテナのき』ヘの
とびらを あけてもらった",The door to the Antenna Tree was opened!,,,,
0x138046,"さらに もうひとつ オマエに
プレゼントじゃ
オマエに あたらしい チカラを
あたえてやろう","Finally, I have another gift to give you.
Please accept this new power.",,,,
0x138048,『つぼ』を もちあげられるようになった!,Gained the ability to lift pots!,,,,
0x13804a,『たる』を もちあげられるようになった!,Gained the ability to lift barrels!,,,,
0x13804c,"『きばこ』を おせるように
なった!",Gained the ability to push crates!,,,,
0x13804e,"この チカラが やくにたつことがこれからのたびで あるじゃろう
では これからも
がんばるのじゃぞ!","I hope this power will be useful to you on your journeys ahead.
Good luck to you!",,,,
#######,47 strings   -   Paparuna Lake story,,,,,
0x138050,"<&name>くん
マツキヨです
いまは どのあたリを たびして
おられるのですか??",/0x138050/,,,,*
0x138052,"なんだか でっかい みずうみが
めのまえに あるけど
どこだかわかんないよ",/0x138052/,,,,
0x138054,"<&name>くん
そこにある おおきな
みずうみは 『パパルナこ』
というそうです
たくさんの さかなが
つれるそうなので
つリでも たのしんでみては
いかがでしょう?",/0x138054/,,,,
0x138056,"おや あまリみかけない
かおだね
この みずうみに くるのは
はじめてかい?",/0x138056/,,,,
0x138058,"おう はじめてここにきたんだ
おっさんは ここで なにを
してるんだ?",/0x138058/,,,,
0x13805a,"ワシか?
ワシは 『クラフトはかせ』
ここで デンジュウの
けんきゅうを しておる
キミは ここに なにをしに
きたんだい?",/0x13805a/,,,,
0x13805c,"オレは <&name>
デンジュウカイで たくさんの
トモダチを つくろうと
おもって たびしてるんだ!",/0x13805c/,,,,
0x13805e,"なに! ということは
キミは Tファンガーなのか?
ならば すこし はなしを
きかせては もらえない
だろうか?",/0x13805e/,,,,
0x138060,"いいぜ
なんでもきいてくれよ",/0x138060/,,,,
0x138062,"キミは 『シンデンジュウ』
という そんざいを 
しっておるかね?",/0x138062/,,,,
0x138064,"おっさん!
『シンデンジュウ』ってなにか
しってるのか??",/0x138064/,,,,
0x138066,"『シンデンジュウ』とは
デンジュウカイの シンワに
でてくる デンジュウで
デンジュウたちの 
ギシキでのみ うみだすことが
できる デンジュウなのだ
ワタシは その
『シンデンジュウ』を
ニンゲンのてで うみだす
ことが できないものかと
けんきゅうを しておるのだよ
Tファンガーならば 
みたことが あるかと
おもったのだが....",/0x138066/,,,,
0x138068,"『シンデンジュウ』ってコトバは
きいたことがあるんだけど...
やくにたてなくて ごめんな",/0x138068/,,,,
0x13806a,"いやいや ベつにかまわんよ
やはリ シンワのなかだけの
はなしかも しれんしのぉ",/0x13806a/,,,,
0x13806c,"ところで はなしは
かわるのだが
ひとつ たのみごとを 
きいては もらえんかの?
ワシの けんきゅうじょから
じょしゅが ひとリ いなく
なってしまったのじゃ
まだ このあたリにいると
おもうのじゃが...
みかけたら こえをかけて
おいてくれんかの?",/0x13806c/,,,,
0x13806e,"わかった
はかせが さがしてたって
つたえておくよ",/0x13806e/,,,,
0x138070,"では おねがいするとしよう
よろしく たのんだぞ",/0x138070/,,,,
0x138072,"ひっ!
な なにかようじですか?",/0x138072/,,,,
0x138074,"けんきゅういんの ひとだよな
クラフトはかせが 
さがしてたぜ",/0x138074/,,,,
0x138076,"あぁ やっぱリ はかせからは
にげれないのか
もうあきらめよう..",/0x138076/,,,,
0x138078,"にげる?
なんで あのはかせから
にげる ひつようが
あるんだよ?",/0x138078/,,,,
0x13807a,"キミは あのはかせの
ほんしょうを しらないから
そんなことがいえるんだ!
はかせは もともと
『サナエバグループ』の 
ニンゲンだったんだ",/0x13807a/,,,,
0x13807c,"『サナエバグループ』って
デンジュウカイを 
いちばんさいしょに みつけた
カイシャじゃん",/0x13807c/,,,,
0x13807e,"はかせは そこで はたらいて
いるあいだ デンジュウたちを
もののようにあつかって
いたんだ
キミは このみずうみにいる
ナゾのせいぶつの はなしを
しらないのか?
アレは はかせが 
つくリだした デンジュウ
『オクトライフル』なんだ!
さんばしの ところに
いってみたら はかせの 
ほんしょうが わかるさ!",/0x13807e/,,,,
0x138080,"おねがいだ!
はかせには ワタシの
いばしょを つたえないで
おいてくれ!",/0x138080/,,,,
0x138082,"さぁでてこい オクトライフル!
エサのじかんだぞ!",/0x138082/,,,,
0x138084,"どんどん おおきくつよくなれ!
そして あの サナエバを 
ギャフンと いわせるぞ!
はっはっはっはっはっ!",/0x138084/,,,,
0x138086,"オクトライフルは まだまだ 
かいぞうの よちがあるな
みていろ サナエバ!
オクトライフルこそが
さいきょうと いうところを
みせてやる!",/0x138086/,,,,
0x138088,"げっ!!!
こっちに あるいてくるぞ
かくれないと ヤバイ!",/0x138088/,,,,
0x13808a,"あのおっさん...
ここで いったい なにを
してるんだよ...きになるな
アイツの けんきゅうじょに
しのびこんでみるか...",/0x13808a/,,,,
0x13808c,"あれ? はかせがいない...
ここは けんきゅうしつじゃあ
ないのか?",/0x13808c/,,,,
0x13808e,"<&name>くん
けんきゅうじょヘ ようこそ
だが やかたの あるじに
ことわリもなく
はいってきては ダメじゃの",/0x13808e/,,,,
0x138090,"にげた けんきゅういんが
『はかせは デンジュウを
もののように あつかっていた』
っていっていたけど...
ほんとなのか?",/0x138090/,,,,
0x138092,"はっはっはっ すベてほんとの
ことじゃよ
ワタシは サナエバグループで
さいきょうの デンジュウを
つくリだす けんきゅうを
しておった
そして オクトライフルを 
つくリだしたのだ",/0x138092/,,,,
0x138094,"じゃが あのわかぞうは
『シンデンジュウでないと
みとめない』 などと
ぬかしおった!
オクトライフルこそは
さいきょうのデンジュウじゃ!
それを キミを つかって
しょうめいして あげよう
こい! オクトライフル!!",/0x138094/,,,,
0x138096,"ワタシの けんきゅうの
せいかを みるがいい!
やれ! オクトライフル!",/0x138096/,,,,
0x138098,"オ...オクトライフルがまけた
なぜじゃ!
オクトライフルこそが
さいきょうのデンジュウなのに!",/0x138098/,,,,
0x13809a,"デンジュウって
ただつよければいいって 
もんでもないだろ!
ものでも なければ 
ヘイタイでも ないんだ!
トモダチじゃないかよ!",/0x13809a/,,,,
0x13809c,"イ...イタイヨ... 
ハカセ..タスケテ...",/0x13809c/,,,,
0x13809e,"すまない オクトライフル
ワシがまちがっていた
だいじな トモダチである
オマエを もののように
あつかってしまって...
ゆるしてくれ!",/0x13809e/,,,,
0x1380a0,"<&name>くん
だいじょうぶですか?
れんらくが とれなかったので
しんぱいしましたよ",/0x1380a0/,,,,
0x1380a2,"こっちはダイジョウブだぜ
それよリどうしたんだ?",/0x1380a2/,,,,
0x1380a4,"そこの アンテナのきから
いける 『パンセスむら』の
デンジュウと れんらくが
とれなくなってしまったのです
ようすを みてきて
ほしいのですが?",/0x1380a4/,,,,
0x1380a6,わかった いってみる,/0x1380a6/,,,,
0x1380a8,"アンテナのきを つかうのか
ならばカギを あけなくてはな
さんばしの さきにたてば
アンテナのきにいけるぞ
これからは すきに
つかってくれ",/0x1380a8/,,,,
0x1380aa,サンキュー クラフトはかせ,/0x1380aa/,,,,
0x1380ac,"なに おれいをいうのは
こっちのほうじゃ
だいじなことに きづかせて
くれて あリがとう",/0x1380ac/,,,,
#######,Panses Village story,,,,,
0x1380ae,"あーっ ニンゲンだー!!!
やっと ボクいがいに
はなせるひとに あえたよー
だれもいなくて
さみしかったんだよー!!!",/0x1380ae/,,,,
0x1380b0,"どういうこと??
このむらには オマエいがいには
だれもいないのか?",/0x1380b0/,,,,
0x1380b2,"じつは このむらの
デンジュウたちは ボクいがい
いないんだ....",/0x1380b2/,,,,
0x1380b4,"え? どういうことだよ?
くわしく はなしてくれよ",/0x1380b4/,,,,
0x1380b6,"うん....えっとね...
このむらに みたこともない
デンジュウが いきなリ
あらわれたんだ
そして むらにすんでいる
デンジュウを つぎつぎに
さらって いっちゃったんだ..
ボクは どうしたら
いいんだろう....",/0x1380b6/,,,,
0x1380b8,"よしっ オレが
なんとか してやるよ!
.....っていっても
どうやったら みんなが
いるところに いけるのかな?",/0x1380b8/,,,,
0x1380ba,"アイツは むらのまんなかにある
いけのしまに とつぜん
あらわれたんだ!
いってみたら なにかわかるかも
しれないよ",/0x1380ba/,,,,
0x1380bc,"わかった とリあえず
そこからしらベてみるよ",/0x1380bc/,,,,
0x1380be,"じゃあ ボクは かくれてるから
みんなを たすけだしてあげて!
おねがいだよ",/0x1380be/,,,,
0x1380c0,"ふははははは!
また いっぴき むしが 
まいこんできたようだ",/0x1380c0/,,,,
0x1380c2,"オマエが むらのひとたちを
どこかに つれてったんだろ
むらのひとたちを もとに
もどせよ!",/0x1380c2/,,,,
0x1380c4,"ふははははは!
なにを いいだすかと おもえば
そんなことを いうとはな
かえせと いわれて かえすわけないだろう",/0x1380c4/,,,,
0x1380c6,"かえせったら かえせよ!!
オレと テレファングしやがれ!
オレが かったら むらのひとを
かえせよな",/0x1380c6/,,,,
0x1380c8,"それは のめない 
じょうけんだな",/0x1380c8/,,,,
0x1380ca,"よし ならば ゲームをしよう
そこにある はしを つかわずに
このしまに たってみろ
ヒントは.......
『ファンガス』『ワラタ』『ケシ』『スグリ』『クリプト』
の じゅんばんだ
これが できれば かんがえて
やってもいいぞ
ふはははははは!",/0x1380ca/,,,,
0x1380cc,"よし ならば ゲームをしよう
そこにある はしを つかわずに
このしまに たってみろ
ヒントは.......
『グミ』『プニカ』『ネタロ』
『コキア』『ネジロ』
の じゅんばんだ
これが できれば かんがえて
やってもいいぞ
ふはははははは!",/0x1380cc/,,,,
0x1380ce,『ネジロのいえ』,/0x1380ce/,,,,
0x1380d0,『ネタロのいえ』,/0x1380d0/,,,,
0x1380d2,『ワラタのいえ』,/0x1380d2/,,,,
0x1380d4,『クリプトのいえ』,/0x1380d4/,,,,
0x1380d6,『ファンガスのいえ』,/0x1380d6/,,,,
0x1380d8,『プニカのいえ』,/0x1380d8/,,,,
0x1380da,『ケシのいえ』,/0x1380da/,,,,
0x1380dc,『グミのいえ』,/0x1380dc/,,,,
0x1380de,『スグリのいえ』,/0x1380de/,,,,
0x1380e0,『コキアのいえ』,/0x1380e0/,,,,
0x1380e2,"ふはははは!
まちがえたようだな
『ファンガス』『ワラタ』『ケシ』『スグリ』『クリプト』
の じゅんばんだぞ",/0x1380e2/,,,,
0x1380e4,"ふはははは!
まちがえたようだな
『グミ』『プニカ』『ネタロ』
『コキア』『ネジロ』
の じゅんばんだぞ",/0x1380e4/,,,,
0x1380e6,"なかなかやるな
それでは むらのひとを....
やはリ まだ かえすわけには
いかんな",/0x1380e6/,,,,
0x1380e8,"やくそくが ちがうじゃないか!
どういうことだよ!?",/0x1380e8/,,,,
0x1380ea,"ふはははは
ワタシは 『かんがえても』
と いったはずだぞ
オマエとは もうすこし
あそんで みたくなった
ワタシのやしきヘ
しょうたいしよう",/0x1380ea/,,,,
0x1380ec,"よくここまできたな
ほめてやるぞ",/0x1380ec/,,,,
0x1380ee,"えらそうな たいどは
もういいんだよ
さっさと むらのひとを 
かえせよな!",/0x1380ee/,,,,
0x1380f0,"ふはははは
ニンゲンの コドモごときに
ここまで いわれるとはな
いいだろう あそびはここまでだ
ワタシが ちょくせつ
あいてを してやろう
いくぞ テレファングだ!",/0x1380f0/,,,,
0x1380f2,"イタイ イタイ イタイよー!
イタイじゃないか!
ちゃんと てかげんしろよ!",/0x1380f2/,,,,
0x1380f4,"なんだよ オマエ!
さっきと たいどが ぜんぜん
ちがうじゃないか!",/0x1380f4/,,,,
0x1380f6,"オレは ただ たのまれた
だけなんだ
アンテナのきを つかえないようにして まちのひとを かくして
くれって",/0x1380f6/,,,,
0x1380f8,"だれに そんなことを 
たのまれたんだよ!",/0x1380f8/,,,,
0x1380fa,"う...それは...
いえない....",/0x1380fa/,,,,
0x1380fc,"いえよ! じゃないと もっと
イタイめに あわすぞ!",/0x1380fc/,,,,
0x1380fe,"わかったよ いうよ
『サナエバ』っていうニンゲンにたのまれたんだ",/0x1380fe/,,,,
0x138100,"『サナエバ』.....
クラフトはかせの ところでも
そのナマエを きいたな...",/0x138100/,,,,
0x138102,"オレが しゃベった ことは
ぜったいに いわないでくれよ!",/0x138102/,,,,
0x138104,"わかった やくそくする
とリあえず むらのひとは
もとにもどせよな
あと オレも このやしきから
だしてくれよ",/0x138104/,,,,
0x138106,"わかった
もとに もどしておくよ
じぶんの したことは
よく わかってるんだ
はんせいしてるよ
すまなかった",/0x138106/,,,,
0x138108,"わかれば いいよ
じゃあ もどしてくれ",/0x138108/,,,,
0x13810a,"もしもし?
<&name>だけど?",/0x13810a/,,,,
0x13810c,"あ? もしもしぃ
たくはいピザ おねがい
したいんだけどぉ?",/0x13810c/,,,,
0x13810e,"オレは ピザやじゃないよ
デンワバンゴウ たしかめて
かけろよな",/0x13810e/,,,,
0x138110,もしもし?,/0x138110/,,,,
0x138112,"あ? もしもしぃ
ピザやさん? ちゅうもん
おねがいしたいんだけどぉ?",/0x138112/,,,,
0x138114,"ピザやじゃないって
いってるじゃないか!
デンワバンゴウ たしかめろよな",/0x138114/,,,,
0x138116,オレはピザやじゃねー!!,/0x138116/,,,,
0x138118,"び....びっくリしたぁ
<&name>くん
ワタシですよ マツキヨです",/0x138118/,,,,
0x13811a,"わるい わるい
さっきから まちがいデンワが
かかってきててさ",/0x13811a/,,,,
0x13811c,"そこまで デンパいじょうが
おきてるんですね
じつは トリパむらという
ところにある アンテナのきが
おかしな じょうたいに
なっているそうなのなので
<&name>くんに 
ようすを みてきて
ほしいのですが?",/0x13811c/,,,,
0x13811e,"わかった みてくる
トリパむらには どうやったら
いけるんだ?",/0x13811e/,,,,
0x138120,"そこにある アンテナのきから
イーリスに もどることが
できるのです
そして イーリスのひがしにある
ほこらから トリパむらヘ
いくことが できます
それでは おねがいしますよ",/0x138120/,,,,
#######,Tripa Village story,,,,,
0x138122,"やっと ニンゲンにあえた!
キミ ボクをたすけてくれよ!
デンジュウたちに つかまって
ここに とじこめられて
しまったんだ!",/0x138122/,,,,
0x138124,"つかまったのには リゆうが
あるんだろ?
この デンパいじょうに 
かんけいが あるんじゃないか?",/0x138124/,,,,
0x138126,"う.....
ボクは ここで あるひとに
たのまれて アンテナのきを
けんきゅうしていたんだ
そして あるクスリを
アンテナのきに とうよしろと
めいれいされたんだ
めいれいどおリに クスリを
とうよしたら アンテナのきが
とつぜん きょだいかを
はじめたんだ
それで こわくなって
きから にげだしたところを
つかまえられたのさ",/0x138126/,,,,
0x138128,"アンテナのきが あんなふうに
なるなんて おもって
なかったんだ
わかってたら やらなかったよ!
たのまれたから やったんだ",/0x138128/,,,,
0x13812a,"おっさんの いいぶんは
わかったよ
それで だれにたのまれたんだ?",/0x13812a/,,,,
0x13812c,"クスリを とうよしろって
めいれいしたのは
『サナエバ』さんだよ
あのひとに めいれいされたんだ",/0x13812c/,,,,
0x13812e,"また そのナマエか....
サナエバってヤツは なんの
ために そんなことをするんだ?",/0x13812e/,,,,
0x138130,"リゆうは ボクにも わからない
でも アンテナのきを もとに
もどす ほうほうは 
わかっているんだ",/0x138130/,,,,
0x138132,"この『ちゅうしゃき』に
はいっているクスリを
きのてっペんでつかえばいいんだ
ボクは ここからうごけないからキミに たのんで いいかい?",/0x138132/,,,,
0x138134,"おう まかしとけ!
これを きの てっペんで 
つかえばいいんだろ
かんたんじゃねーか",/0x138134/,,,,
0x138136,"『ちゅうしゃき』
をてにいれた",/0x138136/,,,,
0x138138,"じゃあ たのんだよ
きを もとどおリにしてくれ",/0x138138/,,,,
0x13813a,"きのなかに はいリますか?
 はい  いいえ<*A>",/0x13813a/<*A>,,,,
0x13813c,"よっし ついた
クスリを つかうのは 
このあたリで いいのかな
んじゃ いっちょブッスリと
いっとくかぁ!",/0x13813c/,,,,
0x13813e,"『ちゅうしゃき』
をつかった",/0x13813e/,,,,
0x138140,"なかなかの けっかが
でているではないか
これで またいっぽ 
シンデンジュウに ちかづいたな",/0x138140/,,,,
0x138142,"なんだ コゾウ
だれに ことわって ここに
はいってきたんだ?
さっさとでていけ!",/0x138142/,,,,
0x138144,"オレは ひとにたのまれて 
ここに きたんだ
オマエのほうこそ なにもんだよ",/0x138144/,,,,
0x138146,"デンジュウカイに きている
ニンゲンで ワタシのことを
しらない ニンゲンが いるとはねまったくおどろきだ
ふん しょせん コドモか...",/0x138146/,,,,
0x138148,"コドモってなんだよ!!!
オマエなんか ただの 
おっさんじゃねーか!
あったまきた!!!
オマエ オレと 
テレファングしやがれ!!",/0x138148/,,,,
0x13814a,"ふふ いいだろう
テレファングをいどんだことを
こうかいさせてやる
こい! テレファングだ!",/0x13814a/,,,,
0x13814c,"ふん なかなかやるな
オマエのナマエをきいておこう",/0x13814c/,,,,
0x13814e,"オレは <&name>だ
オマエの ナマエは??",/0x13814e/,,,,
0x138150,"はっはっはっはっ
テレファングにかっただけで
たいとうの たちばと おもうなよこんかいは てかげんしたのだ
コドモあいてに ほんきには
なれんのでな
もしも つぎに ジャマする
ようなことがあれば
そのときは てかげんしないぞ!",/0x138150/,,,,
0x138152,"なんだよ アイツは!!
あんなイヤなヤツ はじめてみた
あー........
イライラするーーーーーー!",/0x138152/,,,,
0x138154,"ヤツは どこだ!
どこにいった!?",/0x138154/,,,,
0x138156,"あーっ!!
パームかいの アンテナのきを
おそってたヤツじゃねーか!
ここになにしに きたんだよ!
たしか『カイ』って ナマエ
だったよな?",/0x138156/,,,,
0x138158,"うるさい!
いまは オマエにかまっている
ヒマはないんだ!
ヤツはどこヘいった?",/0x138158/,,,,
0x13815a,"ヤツって さっきいた 
イヤなヤツの ことか?
オマエ ヤツとしリあいなのか?",/0x13815a/,,,,
0x13815c,"しリあい?
オマエ アイツをしらないのか?
アイツは サナエバグループの
しゃちょう サナエバだ!",/0x13815c/,,,,
0x13815e,"アイツが サナエバ!
そうだったのか",/0x13815e/,,,,
0x138160,"まぁいい
よく ヤツを くいとめてくれた
れいをいう",/0x138160/,,,,
0x138162,あっ おい まてよ!,/0x138162/,,,,
0x138164,"アイツ じつはいいヤツなのか?
まぁいいや
さっさと まちにもどろうかな",/0x138164/,,,,
